+--------+--------+------+
| origin | destin | dist |
| BWI    | MKE    |  641 |
| BWI    | MSP    |  936 |
| BWI    | MSY    |  998 |
| BWI    | OKC    | 1180 |
| BWI    | ORD    |  622 |
| BWI    | ORF    |  159 |
| BWI    | PBI    |  883 |
| BWI    | PHL    |   90 |
| BWI    | PHX    | 1999 |
| BWI    | PIT    |  210 |
| BWI    | PVD    |  328 |
| BWI    | PWM    |  452 |
| BWI    | RDU    |  255 |
| BWI    | ROC    |  277 |
| BWI    | RSW    |  919 |
| BWI    | SAN    | 2295 |
| BWI    | SAT    | 1407 |
| BWI    | SAV    |  549 |
| BWI    | SDF    |  495 |
| BWI    | SEA    | 2335 |
| BWI    | SFO    | 2457 |
| BWI    | SJU    | 1565 |
| BWI    | SLC    | 1864 |
| BWI    | SRQ    |  880 |
| BWI    | STL    |  737 |
| BWI    | TPA    |  842 |
| BZN    | ATL    | 1641 |
| BZN    | BTM    |   65 |
| BZN    | DEN    |  525 |
| BZN    | DTW    | 1401 |
| BZN    | IDA    |  163 |
| BZN    | LAX    |  902 |
| BZN    | MSP    |  874 |
| BZN    | ORD    | 1186 |
| BZN    | SFO    |  807 |
| BZN    | SLC    |  347 |
| CAE    | ATL    |  191 |
| CAE    | CVG    |  404 |
| CAE    | DFW    |  922 |
| CAE    | DTW    |  583 |
| CAE    | EWR    |  602 |
| CAE    | IAD    |  401 |
| CAE    | IAH    |  878 |
| CAE    | LGA    |  617 |
| CAE    | MEM    |  511 |
| CAE    | ORD    |  666 |
| CAK    | ATL    |  528 |
| CAK    | BOS    |  549 |
| CAK    | CVG    |  214 |
| CAK    | DEN    | 1224 |
| CAK    | DTW    |  133 |
| CAK    | FLL    | 1026 |
| CAK    | LAS    | 1846 |
| CAK    | LGA    |  396 |
| CAK    | MCO    |  860 |
| CAK    | ORD    |  344 |
| CAK    | RSW    |  991 |
| CAK    | TPA    |  894 |
| CDC    | LAX    |  395 |
| CDC    | SGU    |   50 |
| CDC    | SLC    |  221 |
| CDV    | ANC    |  160 |
| CDV    | YAK    |  213 |
| CEC    | ACV    |   56 |
| CEC    | SFO    |  304 |
| CHA    | ATL    |  106 |
| CHA    | CVG    |  278 |
| CHA    | DFW    |  695 |
| CHA    | DTW    |  505 |
| CHA    | IAH    |  686 |
| CHA    | MEM    |  271 |
| CHA    | ORD    |  501 |
| CHO    | ATL    |  457 |
| CHO    | CVG    |  342 |
| CHO    | DCA    |   91 |
| CHS    | ATL    |  259 |
| CHS    | BOS    |  818 |
| CHS    | CLE    |  595 |
| CHS    | CLT    |  168 |
| CHS    | CVG    |  497 |
| CHS    | DFW    |  987 |
| CHS    | DTW    |  668 |
| CHS    | EWR    |  628 |
| CHS    | IAD    |  441 |
| CHS    | IAH    |  925 |
| CHS    | JAX    |  193 |
| CHS    | LGA    |  641 |
| CHS    | MEM    |  589 |
| CHS    | MSP    | 1087 |
| CHS    | ORD    |  760 |
| CHS    | SAV    |   86 |
| CIC    | FAT    |  239 |
| CIC    | MRY    |  221 |
| CIC    | SFO    |  153 |
| CID    | ATL    |  694 |
| CID    | CVG    |  419 |
| CID    | DEN    |  692 |
| CID    | DFW    |  685 |
| CID    | DSM    |  104 |
| CID    | DTW    |  431 |
| CID    | LGA    |  929 |
| CID    | MKE    |  208 |
| CID    | MSP    |  221 |
| CID    | ORD    |  196 |
| CLD    | LAX    |   86 |
| CLD    | PHX    |  306 |
| CLE    | ABE    |  339 |
| CLE    | ABQ    | 1411 |
| CLE    | ALB    |  424 |
| CLE    | ATL    |  554 |
| CLE    | AUS    | 1174 |
| CLE    | BDL    |  475 |
| CLE    | BHM    |  604 |
| CLE    | BNA    |  448 |
| CLE    | BOS    |  563 |
| CLE    | BTV    |  489 |
| CLE    | BUF    |  192 |
| CLE    | BWI    |  314 |
| CLE    | CHS    |  595 |
| CLE    | CLT    |  430 |
| CLE    | CMH    |  112 |
| CLE    | CVG    |  221 |
| CLE    | DAB    |  844 |
